oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
         0d							chorus_send_mfx					
         0e							reverb_send_mfx					
         0f							chorus_send					
         10							reverb_send					
         11							output_assign					
         12							rx	bend				
         13								expression				
         14								hold_1				
         15								pan_mode				
         16							redamper_switch					
         17							control	1	switch	1		
         18										2		
         19										3		
         1a										4		
         1b								2				SEE: control.1
         1f								3				SEE: control.1
         23								4				SEE: control.1
         27							reserved					
         2c							wave	number	l			
         30									r			
         34								gain				
         35								fxm	switch			
         36									color			
         37									depth			
         38								tempo_sync				
         39								pitch_keyfollow				
         3a							pitch_env	depth				
         3b								velocity_sens				
         3c								time_1_velocity_sens				
         3d								time_4_velocity_sens				
         3e								time_keyfollow				
         3f								time	1			
         40									2			
         41									3			
         42									4			
         43								level	0			
         44									1			
         45									2			
         46									3			
         47									4			
         48							tvf	filter_type				
         49								cutoff	frequency			
         4a									keyfollow			
         4b									velocity_curve			
         4c									velocity_sens			
         4d								resonance				
         4e									velocity_sens			
         4f								env	depth			
         50									velocity_curve			
         51									velocity_sens			
         52									time_1_velocity_sens				
         53									time_4_velocity_sens				
         54									time_keyfollow				
         55									time	1		
         56										2		
         57										3		
         58										4		
         59									level	0		
         5a										1		
         5b										2		
         5c										3		
         5d										4		
         5e							bias	level
         5f								position				
         60								direction				
         61							tva	level	velocity_curve			
         62									velocity_sens			
         63									time_1_velocity_sens				
         64									time_4_velocity_sens				
         65									time_keyfollow				
         66								env	time	1		
         67										2		
         68										3		
         69										4		
         6a									level	1		
         6b										2		
         6c										3		
         6d							lfo	1	waveform			
         6e									rate			
         70									offset			
         71									rate_detune			
         72									delay	time		
         73											key_follow	
         74									fade	mode		
         75										time		
         76									key_trigger			
         77									pitch_depth			
         78									tvf_depth			
         79									tva_depth			
         7a									pan_depth			
         7b								2	waveform			
         7c									rate			
         7e									offset			
      20 7f									rate_detune			
      21 00									delay	time		
         01											key_follow	
         02									fade	mode		
         03										time		
         04									key_trigger			
         05									pitch_depth			
         06									tvf_depth			
         07									tva_depth			
         08									pan_depth			
         09								step	type			
         0a									1			
         0b									2			
         0c									3			
         0d									4			
         0e									5			
         0f									6			
         10									7			
         11									8			
         12									9			
         13									10			
         14									11			
         15									12			
         16									13			
         17									14			
         18									15			
      21 19									16			
      22 00						2							SEE: tone.1
      24 00						3							SEE: tone.1
      26 00						4							SEE: tone.1
   10 00 00				drum								
      00 00					common							
         00						name						32	127	ASCII char[12]
         0c						level						0	127
         0d						reserved						
         11						output_assign						
      02 00					mfx							
           						type						
         01						dry_send						
         02						chorus_send						
         03						reverb_send						
         04						output_assign						
         05						control	1	source				
           								sens				
           							2	source				
           								sens				
           							3	source				
           								sens				
           							4	source				
           								sens				
           							assign	1				
           								2				
         0f								3				
         10								4				
           						parameter	1					
           							2					
           							3					
           							4					
           							5					
           							6					
           							7					
           							8					
           							9					
           							10					
           							11					
           							12					
           							13					
           							14					
           							15					
           							16					
           							17					
           							18					
           							19					
           							20					
           							21					
           							22					
           							23					
           							24					
           							25					
           							26					
           							27					
           							28					
           							29					
           							30					
           							31					
      21 0d							32					
      04 00					chorus							
      06 00					reverb							
      10 00					tone							
      10 00						21					
         00							name					32	127	char[12]
         0c							assign_type								
         0d							mute_group								
         0e							level							
         0f							coarse_tune							
         10							fine_tune							
         11							random_pitch_depth							
         12							pan							
         13							random_pan_depth							
         14							alt_pan_depth							
         15							env_mode							
         16							dry_send							
         17							chorus_send							
         18							reverb_send							
         19							chorus_send							
         1a							reverb_send							
         1b							output_assign							
         1c							bend_range							
         1d							rx							
         1e								expression						
         1f								hold_1						
         20								pan_mode						
         21							wmt	velocity_control					
         22								1	wave	switch					
         23										reserved
         27										number	l			
         2b											r			
         2f										gain			
         30										fxm	switch			
         31											color		
         32											depth		
         33										tempo_sync			
         34										coarse_tune			
         35										fine_tune			
         36										pan			
         37										random_pan_switch			
         38										alt_pan_switch			
         39										level			
         3a										velocity	range_lower		
         3b											range_upper		
         3c											fade_lower		
         3d											fade_upper		
         3e								2								SEE: wmt.1
         5b								3								SEE: wmt.1
         78								4								SEE: wmt.1
      11 15							pitch_env	depth						
         16								velocity_sens						
         17								time_1	velocity_sens				
         18								time_4	velocity_sens				
         19								time	1					
         1a									2					
         1b									3					
         1c									4					
         1d								level	0					
         1e									1					
         1f									2					
         20									3					
         21									4					
         22							tvf	filter_type						
         23								cutoff	frequency					
         24									velocity_curve					
         25									velocity_sens					
         26								resonance						
         27								resonance	velocity_sens					
         28								env	depth					
         29									velocity_curve_type					
         2a									velocity_sens					
         2b									time_1	velocity_sens				
         2c									time_4	velocity_sens				
         2d									time	1				
         2e										2				
         2f										3				
         30										4				
         31									level	0				
         32										1				
         33										2				
         34										3				
         35										4				
         36							tva	level	velocity_curve					
         37									velocity_sens					
         38								env	time_1				
         39									time_4					
         3a									time	1				
         3b										2				
         3c										3				
         3d										4				
         3e									level	1				
         3f										2				
         40										3				
         41							one_shot_mode								
      11 42							relative_level								
           															
      12 00						22						
      14 00						23						
      16 00						24						
      18 00						25						
      1a 00						26						
      1c 00						27						
      1e 00						28						
      20 00						29						
      22 00						30						
      24 00						31						
      26 00						32						
      28 00						33						
      2a 00						34						
      2c 00						35						
      2e 00						36						
      30 00						37						
      32 00						38						
      34 00						39						
      36 00						40						
      38 00						41						
      3a 00						42						
      3c 00						43						
      3e 00						44						
      40 00						45						
      42 00						46						
      44 00						47						
      46 00						48						
      48 00						49						
      4a 00						50						
      4c 00						51						
      4e 00						52						
      50 00						53						
      52 00						54						
      54 00						55						
      56 00						56						
      58 00						57						
      5a 00						58						
      5c 00						59						
      5e 00						60						
      60 00						61						
      62 00						62						
      64 00						63						
      66 00						64						
      68 00						65						
      6a 00						66						
      6c 00						67						
      6e 00						68						
      70 00						69						
      72 00						70						
      74 00						71						
      76 00						72						
      78 00						73						
      7a 00						74						
